zip_code,zipcode,borough,areas,neighborhoods,latitude,longitude
11378,11378,Queens,Maspeth,Maspeth,40.72474,-73.90964
11379,11379,Queens,Middle Village,Middle Village,40.71706,-73.88052
11385,11385,Queens,Glendale,Glendale,40.70065,-73.88942
11411,11411,Queens,New York Metropolitan Area,,40.69406,-73.73627
11412,11412,Queens,New York Metropolitan Area,,40.69802,-73.75908
11413,11413,Queens,"Brookville, Laurelton","Brookville, Laurelton",40.67117,-73.75206
11414,11414,Queens,Howard Beach,Howard Beach,40.6576,-73.8448
11415,11415,Queens,kew Gardens,kew Gardens,40.70808,-73.82804
11416,11416,Queens,New York Metropolitan Area,,40.68459,-73.84971
11417,11417,Queens,Ozone Park,Ozone Park,40.67641,-73.84459
11418,11418,Queens,kew Gardens,kew Gardens,40.70032,-73.83602
11419,11419,Queens,New York Metropolitan Area,,40.68861,-73.82306
11420,11420,Queens,"Ozone Park, South Ozone Park","Ozone Park, South Ozone Park",40.6735,-73.8177
11421,11421,Queens,Woodhaven,Woodhaven,40.69403,-73.85866
11422,11422,Queens,"Laurelton, Rosedale","Laurelton, Rosedale",40.66079,-73.73757
11423,11423,Queens,Holliswood,Holliswood,40.71567,-73.7683
11426,11426,Queens,"Glen Oaks, Bellaire","Glen Oaks, Bellaire",40.73641,-73.72236
11427,11427,Queens,Holliswood,Holliswood,40.73094,-73.74572
11428,11428,Queens,New York Metropolitan Area,,40.72099,-73.7422
11429,11429,Queens,New York Metropolitan Area,,40.70956,-73.73848
11430,11430,Queens,New York Metropolitan Area,,40.64697,-73.7873
11432,11432,Queens,Jamaica Hills,Jamaica Hills,40.71493,-73.79296
11433,11433,Queens,South Jamaica,South Jamaica,40.69809,-73.78675
11434,11434,Queens,Rochdale,Rochdale,40.67786,-73.77707
11435,11435,Queens,Briarwood,Briarwood,40.70108,-73.80964
11436,11436,Queens,Rochdale,Rochdale,40.67586,-73.79665
11451,11451,Queens,New York Metropolitan Area,,40.70119,-73.79578
11691,11691,Queens,"Far Rockaway, Edgemere","Far Rockaway, Edgemere",40.6021,-73.76179
11692,11692,Queens,Somerville,Somerville,40.59415,-73.79199
11693,11693,Queens,New York Metropolitan Area,,40.59166,-73.80967
11694,11694,Queens,New York Metropolitan Area,,40.57531,-73.85124
11697,11697,Queens,New York Metropolitan Area,,40.55713,-73.91372
