borough,zip_code,week_of_year,week_sin,week_cos,latitude,longitude,temp_mean,temp_max,temp_min,humidity_mean,precip_sum,temp_mean_lag7,temp_mean_lag14,humidity_mean_lag7,precip_7d,precip_14d,degree_days_14d,positives_last_1w,positives_last_2_4w,zipcode
Bronx,10453,33,-0.7485,-0.6631,40.85251,-73.91329,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10453
Bronx,10454,33,-0.7485,-0.6631,40.80558,-73.9166,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,1,1,10454
Bronx,10455,33,-0.7485,-0.6631,40.8148,-73.9086,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10455
Bronx,10456,33,-0.7485,-0.6631,40.83067,-73.90816,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,2,10456
Bronx,10457,33,-0.7485,-0.6631,40.84571,-73.89792,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,1,2,10457
Bronx,10458,33,-0.7485,-0.6631,40.86249,-73.88645,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,0,0,10458
Bronx,10459,33,-0.7485,-0.6631,40.82569,-73.893,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10459
Bronx,10460,33,-0.7485,-0.6631,40.84234,-73.87906,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,1,10460
Bronx,10461,33,-0.7485,-0.6631,40.84674,-73.84079,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,2,2,10461
Bronx,10462,33,-0.7485,-0.6631,40.84327,-73.86042,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,1,0,10462
Bronx,10463,33,-0.7485,-0.6631,40.88634,-73.90155,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,0,0,10463
Bronx,10464,33,-0.7485,-0.6631,40.86959,-73.79585,23.62,28.08,19.9,77.8,37.3,25.257,26.157,64.571,21.9,59.2,183.4,1,3,10464
Bronx,10465,33,-0.7485,-0.6631,40.82733,-73.82217,23.34,27.76,19.8,79.8,52.7,25.286,26.229,64.571,24.0,76.7,182.8,2,3,10465
Bronx,10466,33,-0.7485,-0.6631,40.89096,-73.84624,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,0,0,10466
Bronx,10467,33,-0.7485,-0.6631,40.87526,-73.87203,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,1,3,10467
Bronx,10468,33,-0.7485,-0.6631,40.86894,-73.9,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,0,0,10468
Bronx,10469,33,-0.7485,-0.6631,40.86851,-73.84669,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,1,2,10469
Bronx,10470,33,-0.7485,-0.6631,40.88953,-73.87259,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,0,0,10470
Bronx,10471,33,-0.7485,-0.6631,40.89998,-73.90675,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,1,2,10471
Bronx,10472,33,-0.7485,-0.6631,40.82968,-73.86937,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,0,0,10472
Bronx,10473,33,-0.7485,-0.6631,40.81869,-73.85847,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,1,3,10473
Bronx,10474,33,-0.7485,-0.6631,40.81134,-73.88517,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,1,2,10474
Bronx,10475,33,-0.7485,-0.6631,40.87564,-73.82693,23.48,27.98,19.8,77.8,37.3,25.1,26.043,64.571,21.9,59.2,180.9,1,1,10475
Queens,11001,33,-0.7485,-0.6631,40.72332,-73.70495,23.28,27.5,19.76,81.2,74.1,25.371,25.971,63.571,29.7,103.8,181.5,0,0,11001
Queens,11004,33,-0.7485,-0.6631,40.74619,-73.71151,23.28,27.5,19.76,81.2,74.1,25.371,25.971,63.571,29.7,103.8,181.5,0,1,11004
Queens,11005,33,-0.7485,-0.6631,40.75664,-73.71424,23.28,27.5,19.76,81.2,74.1,25.371,25.971,63.571,29.7,103.8,181.5,0,1,11005
Queens,11040,33,-0.7485,-0.6631,40.74535,-73.68029,23.28,27.5,19.76,81.2,74.1,25.371,25.971,63.571,29.7,103.8,181.5,0,0,11040
Queens,11096,33,-0.7485,-0.6631,40.62135,-73.75699,23.58,27.24,20.32,81.0,74.3,25.214,26.157,66.286,22.4,96.7,182.9,0,0,11096
Queens,11101,33,-0.7485,-0.6631,40.74711,-73.93971,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,1,4,11101
Queens,11102,33,-0.7485,-0.6631,40.7716,-73.9256,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,11102
Queens,11103,33,-0.7485,-0.6631,40.7626,-73.91328,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,11103
Queens,11104,33,-0.7485,-0.6631,40.74484,-73.92047,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,11104
Queens,11105,33,-0.7485,-0.6631,40.77909,-73.90652,23.56,28.0,19.9,78.8,43.8,25.4,26.3,64.0,20.3,64.1,185.0,1,2,11105
Queens,11106,33,-0.7485,-0.6631,40.76221,-73.93153,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,11106
Queens,11109,33,-0.7485,-0.6631,40.74662,-73.95701,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,0,11109
Brooklyn,11201,33,-0.7485,-0.6631,40.6937,-73.98986,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11201
Brooklyn,11203,33,-0.7485,-0.6631,40.64957,-73.93433,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,1,11203
Brooklyn,11204,33,-0.7485,-0.6631,40.61881,-73.98494,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,3,11204
Brooklyn,11205,33,-0.7485,-0.6631,40.69689,-73.96807,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11205
Brooklyn,11206,33,-0.7485,-0.6631,40.70187,-73.94255,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,2,11206
Brooklyn,11207,33,-0.7485,-0.6631,40.67016,-73.89383,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,2,11207
Brooklyn,11208,33,-0.7485,-0.6631,40.67485,-73.87248,23.54,27.18,20.3,81.0,74.3,25.171,26.071,66.286,22.4,96.7,181.9,2,3,11208
Brooklyn,11209,33,-0.7485,-0.6631,40.6218,-74.03015,23.6,27.7,20.26,79.8,61.4,25.2,25.843,65.857,25.9,87.3,180.7,0,2,11209
Brooklyn,11210,33,-0.7485,-0.6631,40.62806,-73.94631,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,0,11210
Brooklyn,11211,33,-0.7485,-0.6631,40.71408,-73.94517,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11211
Brooklyn,11212,33,-0.7485,-0.6631,40.66291,-73.91307,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,0,11212
Brooklyn,11213,33,-0.7485,-0.6631,40.67115,-73.93627,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11213
Brooklyn,11214,33,-0.7485,-0.6631,40.59969,-73.99637,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,1,6,11214
Brooklyn,11215,33,-0.7485,-0.6631,40.66269,-73.98674,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,5,11215
Brooklyn,11216,33,-0.7485,-0.6631,40.68084,-73.94922,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11216
Brooklyn,11217,33,-0.7485,-0.6631,40.68167,-73.97853,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11217
Brooklyn,11218,33,-0.7485,-0.6631,40.64312,-73.97645,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,0,11218
Brooklyn,11219,33,-0.7485,-0.6631,40.63262,-73.99677,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,1,5,11219
Brooklyn,11220,33,-0.7485,-0.6631,40.64103,-74.01669,23.56,26.88,20.46,80.6,63.7,24.971,25.714,66.714,20.1,83.8,178.1,1,3,11220
Brooklyn,11221,33,-0.7485,-0.6631,40.69143,-73.92763,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,1,1,11221
Brooklyn,11222,33,-0.7485,-0.6631,40.72779,-73.9476,23.72,28.46,19.96,78.8,49.2,25.371,26.3,65.714,26.7,75.9,185.6,0,2,11222
Brooklyn,11223,33,-0.7485,-0.6631,40.59709,-73.97347,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,3,11223
Brooklyn,11224,33,-0.7485,-0.6631,40.57737,-73.98871,23.68,27.08,20.66,80.6,63.7,25.157,25.843,66.714,20.1,83.8,180.8,0,0,11224
Brooklyn,11225,33,-0.7485,-0.6631,40.66312,-73.95387,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11225
Brooklyn,11226,33,-0.7485,-0.6631,40.64641,-73.95666,23.66,28.08,20.22,79.6,67.5,25.371,26.343,65.0,26.1,93.6,185.6,0,0,11226
