Feature,Coefficient,Absolute_Impact
zipcode_10303,0.3670332534516695,0.3670332534516695
zipcode_11232,0.36596727571933335,0.36596727571933335
zipcode_11209,0.3648069561145962,0.3648069561145962
zipcode_11251,-0.36423862443965366,0.36423862443965366
zipcode_10474,0.35974915241727234,0.35974915241727234
zipcode_11214,0.34878786776389514,0.34878786776389514
zipcode_11377,0.34254686301365844,0.34254686301365844
zipcode_11217,-0.34251602824208366,0.34251602824208366
borough_Brooklyn,-0.30580139819092106,0.30580139819092106
zipcode_11222,-0.30531045642604104,0.30531045642604104
zipcode_10006,-0.30106737239505493,0.30106737239505493
temp_max,-0.2948120306889299,0.2948120306889299
zipcode_11220,0.29459961139641144,0.29459961139641144
zipcode_11385,-0.2644528600255981,0.2644528600255981
zipcode_11357,0.2429832426748605,0.2429832426748605
zipcode_11228,0.2364891208522737,0.2364891208522737
zipcode_11212,0.23404715620952102,0.23404715620952102
zipcode_11435,0.2301579525245333,0.2301579525245333
zipcode_11362,0.22989377238584252,0.22989377238584252
zipcode_11203,0.22794685885418384,0.22794685885418384
zipcode_10310,-0.22515387078248192,0.22515387078248192
zipcode_10004,-0.22326389839842642,0.22326389839842642
zipcode_10005,-0.21269604288109334,0.21269604288109334
zipcode_10017,-0.21167932934828823,0.21167932934828823
zipcode_10007,-0.21084124866171813,0.21084124866171813
zipcode_11204,0.20933304771894687,0.20933304771894687
zipcode_10282,-0.20918095335316636,0.20918095335316636
zipcode_10010,-0.20823914101852053,0.20823914101852053
zipcode_10028,-0.2073024055870166,0.2073024055870166
zipcode_10022,-0.20454756970904636,0.20454756970904636
zipcode_11413,0.20369398542738282,0.20369398542738282
zipcode_10030,-0.2004274144222266,0.2004274144222266
zipcode_10038,-0.19950301693520212,0.19950301693520212
zipcode_10039,-0.19903451041448716,0.19903451041448716
zipcode_10065,-0.19827029636742374,0.19827029636742374
zipcode_10280,-0.1976054066920234,0.1976054066920234
zipcode_10111,-0.1970951250283453,0.1970951250283453
zipcode_10012,-0.19578187524348956,0.19578187524348956
zipcode_10032,-0.19116731304162282,0.19116731304162282
zipcode_10020,-0.19057574543573838,0.19057574543573838
zipcode_10024,-0.1898124306537198,0.1898124306537198
zipcode_10075,-0.18678771935309518,0.18678771935309518
zipcode_11418,0.1861304037547445,0.1861304037547445
zipcode_10128,-0.1857101595970217,0.1857101595970217
zipcode_10034,-0.18560110310359978,0.18560110310359978
zipcode_10013,-0.18517905081479563,0.18517905081479563
zipcode_10016,-0.1851605232242194,0.1851605232242194
zipcode_10456,0.1822645230005101,0.1822645230005101
zipcode_10029,-0.17444253015074565,0.17444253015074565
zipcode_10023,-0.17361650838338624,0.17361650838338624
zipcode_10021,-0.17281731885363397,0.17281731885363397
zipcode_10003,-0.1671136713826531,0.1671136713826531
zipcode_11105,0.16304963730261743,0.16304963730261743
temp_min,0.16268743081613557,0.16268743081613557
zipcode_10048,-0.1623292483650459,0.1623292483650459
zipcode_10009,-0.16169922190147243,0.16169922190147243
